playlist_id,track_id
"1273","330"
"1159","406"
"1050","4838"
"1632","3406"
"300","2435"
"26","2706"
"1931","6096"
"479","4413"
"1047","3837"
"1109","2416"
"1352","5249"
"1368","3060"
"1776","3132"
"522","190"
"80","1361"
"387","5800"
"969","4911"
"1328","695"
"773","5475"
"1925","3899"
"1333","6216"
"1303","2407"
"1037","1216"
"1402","4291"
"1513","5407"
"401","2044"
"150","1783"
"1892","4003"
"1300","2082"
"987","5546"
"499","6706"
"856","3852"
"1568","5110"
"371","6034"
"1141","4932"
"1719","3781"
"556","7247"
"1205","7093"
"1019","2147"
"846","4180"
"1805","2935"
"1724","2264"
"210","4325"
"331","560"
"1569","641"
"203","2273"
"1826","6524"
"334","39"
"1055","4708"
"758","2806"
"474","4768"
"1220","1412"
"443","6052"
"1542","7028"
"1787","34"
"691","962"
"1205","861"
"144","2572"
"1944","4326"
"1102","5344"
"1074","6985"
"409","3521"
"470","3460"
"191","3544"
"46","4713"
"1587","1725"
"1081","1231"
"228","5507"
"22","4182"
"99","2506"
"669","76"
"1445","2399"
"1367","5063"
"272","5770"
"1540","4761"
"1835","1312"
"415","2990"
"1770","3982"
"1357","6394"
"1151","5460"
"419","1012"
"93","3969"
"472","4457"
"937","1442"
"1882","3756"
"548","6220"
"832","706"
"1660","1585"
"799","4216"
"542","3483"
"1014","677"
"1672","2020"
"1496","1243"
"100","3519"
"477","7009"
"1533","6373"
"635","4247"
"1664","5858"
"1118","4913"
"1527","5064"
"931","5704"
"1460","4813"
"1593","676"
"1703","6288"
"1493","89"
"767","7147"
"587","257"
"1929","7206"
"1844","3066"
"762","3501"
"244","6442"
"241","3968"
"531","5800"
"586","6814"
"723","581"
"1002","5834"
"1927","2718"
"243","5403"
"141","4244"
"780","4286"
"965","3455"
"385","3468"
"343","3031"
"1162","6062"
"1431","3548"
"1004","308"
"1854","6107"
"1248","5035"
"1988","5090"
"1437","322"
"571","5010"
"1612","516"
"417","4077"
"531","3900"
"1665","34"
"1686","430"
"96","6144"
"309","1296"
"181","7167"
"1520","5912"
"771","1527"
"124","643"
"1351","6650"
"1269","155"
"1173","4549"
"1148","2467"
"848","4855"
"1887","6859"
"940","3125"
"63","5416"
"1978","5190"
"1045","3788"
"768","113"
"466","782"
"1254","6782"
"1275","475"
"1022","2236"
"705","374"
"422","1115"
"240","4588"
"140","7227"
"1207","3195"
"294","1156"
"1691","3372"
"424","4011"
"1566","995"
"1560","2293"
"193","1320"
"841","5478"
"1593","6093"
"442","5060"
"1795","5159"
"530","3628"
"1902","4784"
"1048","2078"
"1851","3326"
"848","7197"
"485","276"
"143","1142"
"1497","1355"
"976","3964"
"374","5468"
"1018","2385"
"1116","74"
"618","1313"
"1090","6521"
"1816","5617"
"1558","737"
"1647","5615"
"461","4041"
"543","5177"
"1400","65"
"636","1278"
"706","1851"
"1867","2596"
"953","5962"
"399","1737"
"75","1394"
"967","5490"
"626","4976"
"360","7062"
"970","2860"
"1743","5760"
"945","5421"
"1963","3581"
"1846","850"
"391","209"
"658","221"
"1214","3292"
"852","6652"
"1775","6476"
"1608","1007"
"572","26"
"355","1888"
"1573","3888"
"445","2416"
"289","1220"
"1475","3668"
"312","1118"
"1868","5055"
"1331","6460"
"1033","540"
"837","6359"
"1856","2775"
"1281","1297"
"134","4545"
"162","6396"
"107","4339"
"401","1522"
"410","2209"
"203","1318"
"1760","4559"
"358","2564"
"1367","595"
"661","4772"
"500","4639"
"753","1461"
"447","3547"
"1250","615"
"1684","2581"
"1432","4628"
"274","6361"
"44","6403"
"256","2334"
"1098","288"
"1083","6870"
"1104","2240"
"1721","4515"
"563","4824"
"1037","45"
"1680","6066"
"1277","5912"
"1499","2844"
"86","675"
"187","5422"
"483","737"
"1181","1219"
"601","2803"
"1082","1890"
"1957","1928"
"965","2930"
"62","1098"
"863","2011"
"555","6067"
"798","6832"
"52","3914"
"1271","3450"
"434","2363"
"1899","3882"
"1931","1370"
"1473","5780"
"257","987"
"484","2197"
"86","4885"
"1654","3682"
"645","5959"
"401","2635"
"76","320"
"792","1847"
"1160","6768"
"1986","1299"
"52","3397"
"222","2121"
"1010","283"
"1464","3160"
"361","1420"
"1828","344"
"1116","5946"
"675","2582"
"838","6799"
"1483","1510"
"273","6742"
"1853","5108"
"262","486"
"1136","136"
"1397","2746"
"463","5759"
"1604","2258"
"1526","2362"
"1391","2168"
"313","3498"
"460","6062"
"1602","6714"
"926","6712"
"1832","958"
"1351","2686"
"6","876"
"787","3561"
"988","5167"
"1487","5559"
"925","6319"
"75","112"
"888","5316"
"851","4328"
"1834","4020"
"1048","3625"
"377","4982"
"1349","1110"
"1882","3582"
"950","2945"
"886","954"
"1881","5355"
"933","5563"
"562","4605"
"636","5728"
"702","1609"
"1473","4927"
"1990","3161"
"1292","4676"
"556","3809"
"1503","3120"
"712","6278"
"860","2106"
"1717","6157"
"538","1740"
"877","6576"
"1698","1084"
"656","2278"
"351","3684"
"1087","3844"
"655","2200"
"1356","5796"
"722","2728"
"1556","4989"
"38","2511"
"689","991"
"716","6971"
"597","4577"
"1775","1053"
"27","6363"
"337","2517"
"30","736"
"187","6190"
"1994","3950"
"1067","544"
"792","7203"
"1190","6798"
"647","2076"
"665","1939"
"1878","2715"
"23","1670"
"1791","1877"
"790","2294"
"1922","3521"
"812","26"
"360","5407"
"694","2297"
"454","2641"
"492","4703"
"878","2047"
"1205","1450"
"1138","406"
"1073","2554"
"505","173"
"1297","241"
"262","2998"
"578","6105"
"1490","6446"
"237","5688"
"1980","3647"
"1288","5697"
"254","3502"
"1445","3753"
"450","440"
"1201","4206"
"179","2037"
"655","2138"
"1671","2849"
"719","1252"
"228","5175"
"851","5976"
"686","3479"
"1766","254"
"803","1953"
"1965","1100"
"27","2272"
"1803","1697"
"899","5151"
"757","1662"
"1594","1608"
"1216","2489"
"1750","2219"
"398","6236"
"345","6748"
"1866","3086"
"828","1357"
"1960","4814"
"1436","850"
"1892","2613"
"593","3804"
"797","4689"
"1701","721"
"1046","4352"
"10","1508"
"1684","206"
"406","5129"
"21","4222"
"243","1670"
"389","1164"
"1062","2215"
"1208","5813"
"1344","538"
"1151","6264"
"1179","6689"
"1924","3509"
"1164","569"
"1411","3326"
"1937","2652"
"1264","194"
"1075","2758"
"1159","2606"
"418","7039"
"427","7223"
"1880","4314"
"222","2743"
"947","1715"
"865","995"
"1735","2641"
"1249","3948"
"171","6096"
"456","4036"
"1282","5451"
"215","963"
"356","4474"
"511","5929"
"586","6790"
"1660","5777"
"892","1749"
"137","4788"
"977","3820"
"40","632"
"545","5772"
"998","5377"
"1218","1798"
"1287","550"
"1475","2567"
"1383","4357"
"25","6923"
"1736","5980"
"1935","4674"
"1471","4027"
"1175","5395"
"109","1738"
"1437","5487"
"892","6828"
"670","6184"
"729","7093"
"1327","4022"
"1135","4858"
"868","6433"
"548","6376"
"358","6528"
"36","1167"
"1416","4907"
"788","3937"
"1712","490"
"547","3854"
"1762","2936"
"989","6427"
"1420","908"
"112","3034"
"1077","5725"
"407","1838"
"1503","2791"
"411","5504"
"637","636"
"199","4787"
"625","1890"
"1084","503"
"821","75"
"800","3570"
"1126","4252"
"294","5523"
"686","1975"
"725","6663"
"676","3175"
"368","2113"
"943","2314"
"1527","2735"
"1270","6164"
"145","3508"
"250","1236"
"1175","7071"
"1059","6474"
"284","5173"
"1210","62"
"1094","71"
"893","704"
"1302","5453"
"1767","5121"
"1106","3661"
"24","5331"
"1037","6650"
"751","2579"
"1042","449"
"1479","217"
"634","7148"
"1008","2960"
"323","6535"
"418","4891"
"1069","6579"
"1697","24"
"1599","4567"
"881","4728"
"1423","5098"
"943","235"
"1426","6236"
"1578","17"
"624","6795"
"1626","1331"
"1178","3756"
"1856","4080"
"1048","6737"
"1589","5436"
"1381","7100"
"1460","1791"
"1237","743"
"1583","1024"
"72","5046"
"1528","1340"
"783","2425"
"284","4402"
"1819","1986"
"1260","2617"
"348","7128"
"1935","1773"
"1590","219"
"1240","1720"
"131","3480"
"969","2378"
"183","6751"
"524","6826"
"1024","2452"
"1611","3073"
"1356","3960"
"55","3133"
"1059","3566"
"1924","256"
"1196","5647"
"1008","4458"
"1122","1181"
"694","1371"
"1438","1290"
"1296","6372"
"30","4816"
"127","157"
"1086","2885"
"1136","4809"
"394","5749"
"538","4558"
"503","240"
"85","3277"
"814","5463"
"255","3368"
"1420","5740"
"166","1895"
"1804","4466"
"1401","2424"
"145","4435"
"549","6633"
"543","1375"
"405","4136"
"628","2822"
"1947","1724"
"72","5253"
"687","5071"
"980","2362"
"1949","1241"
"1354","649"
"439","4049"
"159","652"
"110","2257"
"767","1693"
"312","4732"
"1750","5908"
"1844","5719"
"747","5240"
"804","1036"
"387","3284"
"308","209"
"119","1330"
"1038","6080"
"60","1888"
"1442","1164"
"1773","289"
"1250","3586"
"413","4983"
"1377","4334"
"1076","7074"
"751","6869"
"844","6885"
"217","6233"
"1093","6909"
"1147","70"
"1793","1043"
"1637","5567"
"675","3212"
"1784","4869"
"730","411"
"1875","5441"
"897","6418"
"1096","3242"
"1430","4835"
"1961","5905"
"491","5339"
"1114","5749"
"1543","588"
"1772","6422"
"841","198"
"801","1282"
"356","3347"
"940","4598"
"1631","5127"
"834","2032"
"251","3269"
"221","6326"
"1267","4699"
"309","2006"
"1813","3196"
"571","1681"
"1460","3169"
"1942","4588"
"1475","6515"
"1638","2235"
"1509","3343"
"1844","4623"
"72","5382"
"410","3797"
"124","4836"
"832","5680"
"647","3696"
"714","67"
"228","5951"
"1121","4219"
"1140","3847"
"91","1737"
"1209","3313"
"777","110"
"1230","1160"
"137","476"
"1453","2500"
"321","5453"
"1666","90"
"1843","1598"
"788","1400"
"252","1777"
"762","3532"
"791","6733"
"681","3631"
"1251","5003"
"1250","6109"
"1160","1366"
"1488","2043"
"886","3233"
"78","7053"
"606","7024"
"579","3088"
"1743","3634"
"541","4185"
"429","1715"
"666","1560"
"209","2436"
"1919","115"
"580","5830"
"1696","7007"
"1706","1492"
"1531","2049"
"1333","768"
"1555","1925"
"1673","438"
"290","252"
"427","5793"
"1058","7103"
"1983","4886"
"282","2388"
"165","3540"
"1654","5638"
"392","240"
"632","3"
"350","6504"
"5","4250"
"1219","3840"
"249","99"
"798","149"
"1820","4341"
"1788","178"
"1762","2355"
"582","5243"
"685","2840"
"1294","7238"
"779","5821"
"150","4191"
"485","5498"
"150","1235"
"1220","4590"
"945","7246"
"1611","3594"
"712","1766"
"691","1356"
"1541","6499"
"761","2260"
"929","4135"
"1079","4179"
"1815","4222"
"648","334"
"1631","3811"
"1139","6789"
"727","6813"
"1394","2792"
"371","1670"
"344","3697"
"395","4492"
"53","2742"
"1834","2967"
"851","2312"
"1552","2742"
"1389","2257"
"1675","4636"
"441","3929"
"1719","209"
"1781","7067"
"1216","3958"
"855","2553"
"209","6288"
"306","990"
"26","1950"
"1496","959"
"974","350"
"1655","120"
"1413","4502"
"1279","4491"
"1689","2346"
"602","2021"
"1775","4458"
"318","435"
"399","7018"
"1744","1384"
"1633","6245"
"1728","5074"
"1297","6251"
"1041","4156"
"1631","2818"
"1543","3742"
"1757","5192"
"792","1733"
"1678","3296"
"1401","6909"
"81","6720"
"929","4486"
"1474","6503"
"762","3621"
"596","7043"
"1926","1960"
"242","2063"
"1406","2701"
"520","3121"
"496","1672"
"1010","7238"
"913","3735"
"943","2610"
"274","6281"
"1231","6804"
"1853","6194"
"1073","1049"
"504","1705"
"1637","6284"
"865","3804"
"1557","647"
"1278","7213"
"216","6938"
"1899","2822"
"40","146"
"1842","7076"
"738","480"
"1723","5305"
"1160","2095"
"1856","5504"
"829","1675"
"331","1787"
"667","5887"
"1568","2189"
"1185","6741"
"705","2492"
"382","6333"
"1823","2927"
"1353","2369"
"1926","871"
"962","3286"
"1066","4629"
"1408","739"
"1301","5071"
"1389","5575"
"156","2007"
"1569","5391"
"1140","1138"
"1590","6727"
"1828","366"
"1074","5600"
"1825","2926"
"1077","4948"
"1317","5498"
"258","2029"
"1392","4540"
"386","3270"
"338","2030"
"1094","1902"
"1273","3542"
"331","1536"
"1951","3638"
"909","5330"
"1953","4911"
"693","6275"
"1628","6936"
"425","284"
"832","4017"
"1903","1241"
"664","28"
"1709","1437"
"46","1191"
"985","5049"
"204","5542"
"1837","3761"
"352","2356"
"1556","3894"
"216","247"
"186","2751"
"1655","404"
"879","7115"
"989","2285"
"627","4526"
"144","4290"
"5","6797"
"1683","2687"
"1777","4080"
"1705","4040"
"1609","3553"
"558","1497"
"1493","3463"
"1095","861"
"943","4122"
"1912","6634"
"911","5450"
"63","6004"
"1799","3296"
"134","3857"
"879","582"
"1153","3494"
"109","4336"
"444","5802"
"331","6382"
"846","866"
"975","4042"
"1550","7059"
"139","6076"
"856","565"
"1102","3077"
"929","6553"
"1191","345"
"1234","2020"
"1862","4022"
"1770","147"
"1055","3244"
"988","2543"
"954","4495"
"1012","7052"
"280","4321"
"1979","934"
"57","4662"
"1138","552"
"1699","3083"
"1430","7098"
"128","6841"
"1885","5126"
"1283","2949"
"1794","5028"
"33","6045"
"1269","6596"
"903","1349"
"897","3641"
"1706","2954"
"780","712"
"1527","3549"
"1124","5833"
"49","5198"
"274","4819"
"66","4639"
"317","6544"
"753","3300"
"1835","1215"
"1639","2173"
"1349","683"
"366","7081"
"1519","5246"
"626","7209"
"194","4648"
"1734","6561"
"1329","542"
"1642","2324"
"1252","906"
"1693","592"
"1964","5949"
"705","3055"
"1968","4262"
"274","2108"
"1737","4480"
"626","5998"
"1948","6974"
"1249","2768"
"1414","6906"
"1076","2202"
"1969","1822"
"1317","3191"
"1035","3108"
"1474","1278"
"885","3513"
"222","2745"
"1131","4266"
"110","3872"
"832","693"
"869","4902"
"1046","1296"
"1939","2171"
"889","1412"
"976","7005"
"1048","1370"
"197","6524"
"1168","7093"
"99","6528"
"1621","2882"
"1567","5867"
"564","5850"
"1436","4825"
"1611","3778"
"1431","529"
"1969","7193"
"1796","4578"
"166","4985"
"1732","500"
"1443","5957"
"1435","403"
"568","6412"
"1459","242"
"1019","2749"
"1832","2255"
"1616","5544"
"1017","4197"
"223","2171"
"807","732"
"1375","3034"
"485","5440"
"601","3333"
"276","4156"
"763","175"
"1751","6228"
"1412","5162"
"547","3330"
"773","1089"
"683","4647"
"1877","3716"
"1672","1539"
"622","6072"
"1825","5501"
"1511","649"
"967","2962"
"216","6542"
"1356","1781"
"1885","6038"
"1979","1372"
"1308","332"
"437","3891"
"850","1662"
"223","5745"
"398","4903"
"1513","2387"
"291","6644"
"734","492"
"804","5515"
"1457","5729"
"354","679"
"730","1179"
"1334","5411"
"263","6261"
"351","4675"
"643","2557"
"662","2776"
"757","3217"
"901","411"
"1235","6735"
"83","4697"
"549","2594"
"947","1143"
"1697","3004"
"269","2588"
"1714","4064"
"96","2348"
"1436","4054"
"981","1451"
"1757","3116"
"445","7049"
"434","4747"
"1312","2839"
"1133","1269"
"1606","1935"
"1213","541"
"977","5739"
"1374","953"
"851","4068"
"359","2146"
"1802","4425"
"1446","6886"
"853","5122"
"446","2847"
"1643","4498"
"886","5502"
"1761","3842"
"782","5391"
"750","4154"
"828","7280"
"31","4667"
"517","157"
"620","2905"
"1502","4098"
"167","183"
"1824","5666"
"1558","7178"
"1743","2405"
"1773","1886"
"713","1167"
"504","3477"
"294","6762"
"1283","3424"
"1827","1724"
"1027","2040"
"517","1343"
"318","4826"
"1499","695"
"1263","7050"
"41","488"
"1105","1395"
"1734","876"
"1914","1676"
"1849","3470"
"249","2474"
"344","3676"
"1138","4007"
"849","1061"
"1485","610"
"670","1064"
"496","355"
"1341","883"
"454","5597"
"610","3090"
"622","3966"
"24","2994"
"632","2316"
"598","392"
"786","2655"
"876","6722"
"533","5471"
"749","5061"
"691","2544"
"349","5840"
"992","6191"
"1717","1178"
"337","3995"
"1235","3538"
"900","137"
"872","2622"
"605","816"
"613","4633"
"902","3850"
"679","3820"
"991","5221"
"1251","2661"
"1475","6157"
"780","2523"
"7","4281"
"1424","5845"
"876","7283"
"1080","7264"
"421","6267"
"1354","854"
"719","4790"
"1928","3623"
"1089","1949"
"968","4940"
"101","4621"
"434","4363"
"1123","5014"
"159","3382"
"1572","5150"
"1413","4692"
"84","5512"
"1154","3676"
"656","5794"
"48","4641"
"1570","3155"
"979","6556"
"661","4168"
"23","4383"
"946","2688"
"807","3994"
"619","4688"
"1412","7234"
"291","3035"
"1198","5298"
"415","5640"
"1883","3451"
"654","7018"
"925","23"
"884","2772"
"276","807"
"660","6160"
"103","3103"
"1148","1356"
"685","4956"
"193","3982"
"1131","6594"
"983","698"
"1346","1759"
"1495","5208"
"1001","5048"
"983","5405"
"1242","35"
"221","3046"
"1930","5220"
"1269","5582"
"978","1527"
"46","636"
"503","6690"
"122","2861"
"993","755"
"1219","45"
"779","341"
"1445","1954"
"1531","2191"
"1535","7141"
"571","4313"
"932","5022"
"1864","567"
"1451","1526"
"1250","3218"
"1023","3486"
"139","3056"
"439","1887"
"923","540"
"1612","5901"
"1839","3433"
"1035","4568"
"1871","2535"
"1911","4738"
"1598","4746"
"668","7004"
"1281","1115"
"699","2575"
"1473","790"
"1825","1764"
"1281","3879"
"557","2643"
"1873","3297"
"1203","4680"
"1032","6853"
"1519","1048"
"1140","1781"
"1417","1094"
"1407","3294"
"1173","6493"
"10","4199"
"755","721"
"763","866"
"1219","2801"
"860","5647"
"1159","6790"
"1753","2359"
"450","711"
"371","2817"
"1428","5789"
"1815","4313"
"760","1845"
"487","3295"
"373","1646"
"93","1243"
"1503","4945"
"1587","5066"
"1559","3700"
"1811","7077"
"986","469"
"1124","2470"
"1041","979"
"1653","1982"
"1367","1901"
"1840","1151"
"1222","4813"
"3","6786"
"1729","5150"
"1664","5096"
"621","80"
"785","5820"
"1272","2239"
"712","598"
"505","5779"
"374","4838"
"315","5973"
"330","39"
"1903","1493"
"1688","1613"
"213","7124"
"1885","3308"
"501","5191"
"1623","1250"
"1933","5956"
"344","3666"
"1505","273"
"1573","2922"
"1947","4113"
"983","4245"
"404","1216"
"1888","2026"
"1344","65"
"96","2849"
"145","3097"
"1226","2953"
"1525","315"
"514","5383"
"270","4966"
"1187","2255"
"975","965"
"1975","1449"
"483","6449"
"878","584"
"1481","6539"
"1184","3370"
"427","5226"
"101","2642"
"629","1637"
"564","4666"
"374","4549"
"1183","5622"
"710","2588"
"1681","5114"
"68","3082"
"777","106"
"1383","2216"
"1429","6111"
"164","2364"
"425","4876"
"461","6522"
"1982","939"
"1566","3996"
"1060","1024"
"842","2117"
"1199","4940"
"1114","6499"
"902","4093"
"1099","1800"
"1286","6701"
"1773","5083"
"1143","4341"
"160","6518"
"1705","4346"
"561","572"
"488","5791"
"1905","7111"
"298","5669"
"105","5011"
"757","2900"
"1489","1649"
"372","4037"
"12","1356"
"1625","1439"
"1620","5918"
"1280","1034"
"519","5835"
"842","6189"
"770","410"
"1717","1824"
"1449","4339"
"886","1806"
"1943","2778"
"665","5935"
"185","1614"
"895","5129"
"1718","6091"
"1242","4650"
"758","6737"
"599","29"
"1286","1925"
"942","3313"
"125","5136"
"1309","5127"
"1452","5700"
"1070","5440"
"7","2001"
"398","6833"
"1108","2949"
"1457","6331"
"622","7264"
"1647","437"
"1349","3599"
"668","4524"
"1175","6971"
"1039","3133"
"752","2225"
"1130","175"
"560","6093"
"720","7007"
"1121","2438"
"1180","670"
"1373","3245"
"774","4396"
"330","5561"
"765","5992"
"1613","787"
"24","3827"
"600","3267"
"1069","5830"
"822","2591"
"230","2602"
"1336","225"
"1391","2696"
"125","1622"
"1124","3079"
"928","2833"
"302","2227"
"1913","5074"
"948","6915"
"59","3565"
"1961","5937"
"255","6995"
"1936","6042"
"647","1121"
"1450","7049"
"1223","4069"
"1700","3624"
"1580","590"
"837","4562"
"556","1429"
"590","1597"
"1623","5835"
"596","2122"
"676","6339"
"1157","4845"
"1595","127"
"1027","2465"
"1618","6319"
"1352","5944"
