album_id,name,length_sec
"1","Holosen","109.439"
"1","Habil ve Kâbil","226.64"
"1","Şimdi Göğe Dolduk","239.734"
"1","Batan Dünyanın Malları","206.709"
"1","El Aman","266.422"
"1","Alacaklı Topraklar","196.004"
"1","Einfach","257.566"
"1","Mavi Nokta","278.611"
"2","Dem","95.07"
"2","Fazla Aşkı Olan Var Mı?","218.813"
"2","Parti","254.106"
"2","Hint Kumaşı","283.336"
"2","Bize Müsaade Ettim","232.041"
"2","Bir Varmış Bir Yokmuş","180.02"
"2","Işıkları Söndürseler Bile","268.935"
"2","En Güzel Şarkım","238.517"
"2","Gözünü Aç Çocuk","201.503"
"2","Romantik Şizofren","293.472"
"2","Eriyorum Nihayete","217.676"
"2","Yaranmaz Aşık","215.979"
"3","Hoş Geldin","130.879"
"3","Rezalet Çıkarasım Var","184.006"
"3","Hayat Bu İşte","331.906"
"3","Hani Biz","273.763"
"3","Her Aşk Ölümü Tadacak","324.893"
"3","Beni Benimle Bırak","266.75"
"3","We Could Be the Same","228.31"
"3","Bir Kadın Çizeceksin","264.475"
"3","Lunapark","48.065"
"3","Ben Bir Palyaçoyum","324.475"
"3","Dursun Zaman","287.88"
"3","Fly to Stay Alive","267.772"
"3","Yalan","335.296"
"3","Cevapsız Sorular","267.586"
"3","Güle Güle","127.709"
"4","Gün Doğumu","115.186"
"4","Beni Benimle Bırak","209.973"
"4","Dünyanın Sonuna Doğmuşum","260.493"
"4","Cevapsız Sorular","272.04"
"4","Evdeki Ses","186.013"
"4","Her Aşk Ölümü Tadacak","222.866"
"4","Şehr-i Hüzün","63.306"
"4","Hayat Bu İşte","307.546"
"4","Üryan Geldim","281.786"
"4","Tek Yön Seçtiğin Tüm Yollar","241.706"
"4","Gecenin Ritmi","86.613"
"4","Hepsi Bir Nefes","283.293"
"4","Sessizlik Sona Erdi","180.026"
"4","Kaçamak Faslı","62.48"
"4","Alışırım Gözlerimi Kapamaya","354.373"
"4","Gün Batımı","413.72"
"5","Açılış","79.92"
"5","Kandırma Kendini","239.2"
"5","Raptiye Rap Rap","254.986"
"5","Kapkaç","171.826"
"5","Bitti Rüya","239.933"
"5","Bir Kadın Çizeceksin","239.613"
"5","Kal Yanımda (feat. Koray Candemir)","225.52"
"5","Yalan","326.173"
"5","İz Bırakanlar Unutulmaz (feat. Vega)","249.653"
"5","Libido","180.12"
"5","Sakın Bana Söyleme","303.48"
"5","Dursun Zaman (feat. Göksel)","295.866"
"5","Mangara","147.693"
"5","İtildik","205.666"
"5","Yalan II","237.413"
"5","Kapanış / Kal Yanımda II - Hidden Track Version","462.76"
"6","Kime Anlatsam","160.465"
"7","Dünyanın Sonuna Doğmuşum - 4 Haziran 2023 Harbiye Açıkhava","264"
"8","Yüzleşme - Kargo: Yarına Kalan Şarkılar","200.013"
"9","Antroposen","94.912"
"9","Mezarlar Yükseldi","227.565"
"9","BEN","174.986"
"9","İlk Adım","58.719"
"9","6000 Years Ago","180.476"
"9","Fezaya Doğru","109.6"
"10","Uzun İnce Bir Yoldayım","287.736"
"11","Batan Dünyanın Malları - Antroposen 001 Canlı 2 Nisan 2022 İstanbul Konseri","211"
"11","Alacaklı Topraklar - Antroposen 001 Canlı 2 Nisan 2022 İstanbul Konseri","199.083"
"11","Einfach - Antroposen 001 Canlı 2 Nisan 2022 İstanbul Konseri","258.5"
"11","Şimdi Göğe Dolduk - Antroposen 001 Canlı 2 Nisan 2022 İstanbul Konseri","240.75"
"11","Habil ve Kâbil - Antroposen 001 Canlı 2 Nisan 2022 İstanbul Konseri","228"
"11","El Aman - Antroposen 001 Canlı 2 Nisan 2022 İstanbul Konseri","308"
"12","Uyan Oğlum","155.923"
"12","Cevapsız Sorular - Piyano","115"
"12","Gideriz Be Arkadaşım","127.5"
"12","Kırıla Kırıla (Art House) - Yağmur Sarıgül Remix","113"
"12","Zaman Çalan","133"
"12","Batan Dünyanın Malları","206.709"
"13","Kırıla Kırıla","202.505"
"14","Olimpiyat Ateşi","184.511"
"15","#BİZEHERYERSTAT","70.476"
"16","Zor","219.849"
"17","Süper Güçlerimiz Var","239.345"
"17","Yad Eller - Akustik","263.173"
"17","Gel - Bu Son El Akustik","285.881"
"18","1000 Parça","238.163"
"18","Yad Eller","229.165"
"18","Gel - Bu Son El","260.905"
"19","Kendi Yolundan Şaşma","198.67"
"19","Kendi Yolundan Şaşma (Enstrümantal) - Instrumental","198.787"
"20","Yine Yeni Yeniden - Yeniden Sev","215.465"
"21","Rescued","258.648"
"21","Under You","219.4"
"21","Hearing Voices","228.773"
"21","But Here We Are","283.466"
"21","The Glass","229.786"
"21","Nothing At All","207.786"
"21","Show Me How","293.96"
"21","Beyond Me","234.44"
"21","The Teacher","604.226"
"21","Rest","333.946"
"22","You Should Be Dancing","232.746"
"22","Night Fever","213.466"
"22","Tragedy","287.026"
"22","Shadow Dancing","255.386"
"22","More Than A Woman","188.933"
"22","Making A Fire","252.893"
"22","Shame Shame","242.533"
"22","Waiting On A War","244.906"
"22","No Son Of Mine","205.866"
"22","Cloudspotter","223.52"
"23","Making A Fire","255.106"
"23","Shame Shame","257.426"
"23","Cloudspotter","233.213"
"23","Waiting On A War","253.84"
"23","Medicine At Midnight","209.72"
"23","No Son Of Mine","208.706"
"23","Holding Poison","264.066"
"23","Chasing Birds","252.293"
"23","Love Dies Young","261.545"
"24","Making A Fire - Track Commentary","46.312"
"24","Shame Shame - Track Commentary","34.205"
"24","Cloudspotter - Track Commentary","48.548"
"24","Waiting On A War - Track Commentary","42.243"
"24","Medicine At Midnight - Track Commentary","45.438"
"24","No Son Of Mine - Track Commentary","41.47"
"24","Holding Poison - Track Commentary","49.546"
"24","Chasing Birds - Track Commentary","46.624"
"24","Love Dies Young - Track Commentary","53.443"
"25","T-Shirt","82.613"
"25","Run","323.373"
"25","Make It Right","279.253"
"25","The Sky Is A Neighborhood","244.573"
"25","La Dee Da","242.76"
"25","Dirty Water","320.88"
"25","Arrows","266.186"
"25","Happy Ever After (Zero Hour)","220.973"
"25","Sunday Rain","371.453"
"25","The Line","218.24"
"25","Concrete and Gold","331.626"
"26","Something from Nothing","288.453"
"26","The Feast and The Famine","229.56"
"26","Congregation","311.906"
"26","What Did I Do?/God As My Witness","343.653"
"26","Outside","314.573"
"26","In The Clear","243.84"
"26","Subterranean","367.506"
"26","I Am A River","428.52"
"27","Bridge Burning","286.466"
"27","Rope","259.026"
"27","Dear Rosemary","266.533"
"27","White Limo","202.466"
"27","Arlandria","267.56"
"27","These Days","298.266"
"27","Back & Forth","231.933"
"27","A Matter Of Time","276.093"
"27","Miss The Misery","271.973"
"27","I Should Have Known","255.733"
"27","Walk","255.96"
"28","The Pretender","269.373"
"28","Let It Die","244.96"
"28","Erase/Replace","253.133"
